relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
3,1,2000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,True
3,2,4100000,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,1,True
5,1,6200000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,True
8,2,12250000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.5,1,True
3,2,11725600,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,True
1,2,16000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1,False
10,3,5056559,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.6667,1,True
9,1,100000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,True
5,3,33000000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3.6667,1,True
8,3,3352194,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9.5,0,False
5,2,2212000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3.0,1,True
1,4,19800000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5.0,1,True
6,2,4500000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,1,False
2,2,14000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.5,1,True
4,1,100000,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,False
4,2,9900000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,True
10,3,7600000,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5.0,1,True
2,1,50000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0,False
3,1,650000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,False
8,3,10500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,1,False
12,1,500000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,True
2,2,24300000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,1,True
6,2,18000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,False
2,2,9500000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.0,1,False
6,1,16980999,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1,True
2,1,5000000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0,0,False
3,1,350000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,False
1,5,13130000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,False
1,1,20000000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,False
18,3,26500000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,1,True
4,2,15000000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,True
0,1,2600000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,False
1,4,21470000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.5,1,False
5,1,20000,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
10,2,3600000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0,False
8,1,2600000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0,0,True
5,1,5000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,False
2,2,17000000,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.5,1,True
0,1,662000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,False
12,2,3750000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.0,1,True
9,2,6700000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.0,1,True
12,3,20750000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.3333,1,True
5,4,19000000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.0,1,True
20,3,22500000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4.0,1,True
10,3,7300000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2.0,1,True
4,1,10000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1,True
1,1,31000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,False
16,3,21500000,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,True
5,1,4000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,1,True
5,3,9400000,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4.0,1,True
9,3,5600000,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,True
9,2,6000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,True
16,3,2000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.6667,1,True
5,2,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5.5,1,True
3,2,200000,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,1,False
2,1,2300000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,False
5,1,1000000,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,False
13,5,24750000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2.4,1,True
15,2,12800000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,False
10,2,30500000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,1,True
3,3,36300000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.5,1,False
7,3,6693782,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.6667,1,True
1,1,20000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.0,1,False
8,1,11370000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,True
13,3,16500000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.3333,1,True
3,1,250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,0,False
9,5,14400000,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5.8,1,True
10,4,13075000,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.0,1,True
10,2,26000000,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2.5,1,True
6,2,16300000,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1,True
5,2,5992316,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0,True
4,1,1200000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,False
7,2,1900000,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5,1,False
9,3,30300000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.5,1,False
4,1,500000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0,False
3,1,18800000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.0,1,True
3,1,20000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
3,4,3350000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1.5,0,True
1,1,26100000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.0,1,True
0,2,1213066,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,False
18,3,24030000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.6667,1,True
14,3,13100000,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1.6667,1,True
6,3,560001,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.5,1,True
7,1,3500000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,True
18,4,42500000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,2.5,1,True
7,1,12170000,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1,False
4,1,1000000,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,True
5,3,1820000,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,True
6,1,5000000,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.0,1,True
4,2,18800000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,True
3,3,1310000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,True
2,2,15000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,False
3,1,25000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1,True
4,3,172500,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,True
7,3,40300000,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,4.0,1,True
9,1,100000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0,False
14,5,19389998,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1.5,1,True
6,1,6000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,True
8,4,3499997,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.5,1,True
13,3,2600000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3.6667,1,True
14,3,2023000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.3333,1,True
3,1,25000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.0,1,True
5,2,1000000,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.5,0,True
11,2,13000000,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1,True
3,3,24150000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,False
4,3,47218498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3.3333,1,False
1,2,11800000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4.5,1,True
2,2,2387481,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,1,False
4,2,7500000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.5,1,True
3,1,25000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,1,True
7,4,25305000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2.0,1,True
15,2,3500000,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.5,1,True
7,1,5000000,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,True
9,3,2515000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.6667,1,True
10,2,8400000,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,True
5,2,4900000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,False
3,1,5000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,False
2,1,11000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,1,True
7,2,2000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8.5,1,True
2,2,10800000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,False
5,1,7660000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,True
5,4,48730000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3.0,1,True
1,2,3350000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.5,1,False
3,4,28000000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,3.0,1,False
5,1,2500000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,True
16,2,8000000,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1,True
6,2,540000,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,1,True
4,2,3100000,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,1,True
8,2,1200000,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6.0,1,True
2,1,5000000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,0,False
6,6,37079000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3.8,1,True
5,2,5000000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,False
3,4,4200000,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,1,True
3,1,4100000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,False
3,1,2000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,False
3,1,6500000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,True
0,1,4000000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,False
3,5,185000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,1,False
5,1,1300000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,True
4,1,2500000,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,True
11,2,9200000,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,True
0,4,435953,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
2,1,10000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,True
3,1,12000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1,False
3,2,2257464,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0,False
4,2,983000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.0,1,True
15,2,41000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.5,1,True
0,3,9100000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.0,0,False
6,3,25500100,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.5,1,False
3,1,400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,True
4,1,500000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.0,1,True
6,2,4700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,True
1,1,30000000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,1,True
13,5,39000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.25,1,True
10,3,32000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,1,True
7,3,42000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2.6667,1,True
5,3,24510540,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2.6667,1,True
0,1,2500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,1,False
1,3,21460663,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.5,1,True
6,1,15000000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,1,True
5,2,889999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3.5,1,False
6,1,16000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,1,True
5,1,7000000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1,True
3,2,100000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
13,1,1500000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,True
19,1,8000000,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,True
3,1,25000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
10,2,12100000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,False
9,2,20000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.5,1,True
10,4,49600000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2.6667,1,False
3,5,51450000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.6667,1,True
7,2,6300000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,True
8,1,200000,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,False
2,1,20000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,False
13,2,11600000,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0,1,True
6,1,9150000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,True
2,1,1200000,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0,1,False
4,1,1700000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,1,False
9,3,1415000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,1,True
16,2,4200000,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.5,1,True
7,2,500000,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,True
1,1,21500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,True
4,2,10000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,True
7,2,9500000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,False
4,2,13875001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,1,False
5,1,275000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,False
10,3,19743770,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,1,True
5,5,1178000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,True
5,3,25000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,True
1,3,24150000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,True
11,2,36000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.5,1,True
1,1,205000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,False
1,1,2000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,False
15,1,4000000,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,False
2,1,500000,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,1,False
9,1,4000000,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,1,False
8,2,9030000,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,False
2,1,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,False
3,3,14700000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,0,True
4,3,430000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.6667,0,True
5,2,1015000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0,True
2,1,1200000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,1,False
16,2,17100000,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,True
0,1,50000000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,True
3,1,900000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,False
7,1,6000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,False
5,2,15100000,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.0,0,True
15,4,14800000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2.25,1,True
1,1,30000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,False
10,1,22200000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0,1,False
6,2,415000,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,1,True
16,4,27063781,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.5,1,True
6,1,3100000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.0,1,True
13,2,33000000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,False
2,3,17400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,1,True
17,5,28300000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2.0,1,True
5,3,1525000,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.6667,1,True
9,1,1200000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.0,1,True
6,3,12400000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,True
1,1,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1,False
4,3,11000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.6667,1,True
3,2,675000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,True
5,2,13000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,True
5,1,3500000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,True
2,1,12000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,False
2,3,15286415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,True
5,1,3200000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,True
1,1,30000,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,0,False
9,2,23500000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.0,1,True
2,1,980000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,False
